type,name,module,path,hash
"csv","agent-manifest","_config","_config/agent-manifest.csv","3d8879cbf1170ab0544cbd631e75840ec32aca8e673cb23995daf31c11bed486"
"csv","task-manifest","_config","_config/task-manifest.csv","98a5690505c0373efaaf6bf7bd306f2e9a1cd3b937deb1268cda54377ec622a2"
"csv","workflow-manifest","_config","_config/workflow-manifest.csv","c35437164514eff0cc692553aa0c1e851f48f201a5fae0ee424a0c336fb48c19"
"yaml","manifest","_config","_config/manifest.yaml","6551a5a8c4f95531c26b7697fcd62bb897bc97435975b3d319a24bb75ce70571"
"md","stories-told","_memory","_memory/storyteller-sidecar/stories-told.md","47ee9e599595f3d9daf96d47bcdacf55eeb69fbe5572f6b08a8f48c543bc62de"
"md","story-preferences","_memory","_memory/storyteller-sidecar/story-preferences.md","b70dbb5baf3603fdac12365ef24610685cba3b68a9bc41b07bbe455cbdcc0178"
"yaml","config","_memory","_memory/config.yaml","4417e5fa132f2b48f16c65351af470a428ea5b16f3ff524cd29f3180cd6f9bc9"
"csv","common-workflow-tools","bmb","bmb/docs/workflows/common-workflow-tools.csv","f16a0b207617fab1a3f0aa7b65f1b65d828101530daf93fd9cf4931b1c12d5ca"
"csv","communication-presets","bmb","bmb/workflows/create-agent/data/communication-presets.csv","1d40b718418c672b19700516f03479dce199fb3646ff26250536e42113a91224"
"csv","dietary-restrictions","bmb","bmb/reference/workflows/meal-prep-nutrition/data/dietary-restrictions.csv","ccde18712553d55ea63ca85d6d1f10e74086d4f47a03dec65141d4bb9942592b"
"csv","dietary-restrictions","bmb","bmb/workflows/create-agent/data/reference/workflows/meal-prep-nutrition/data/dietary-restrictions.csv","ccde18712553d55ea63ca85d6d1f10e74086d4f47a03dec65141d4bb9942592b"
"csv","kb","bmb","bmb/docs/agents/kb.csv","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"csv","kb","bmb","bmb/docs/workflows/kb.csv","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"csv","macro-calculator","bmb","bmb/reference/workflows/meal-prep-nutrition/data/macro-calculator.csv","6f218ae98911f5c2200a72c94cf85a45a4928a6d3208a23acf9c2e34b06e494c"
"csv","macro-calculator","bmb","bmb/workflows/create-agent/data/reference/workflows/meal-prep-nutrition/data/macro-calculator.csv","6f218ae98911f5c2200a72c94cf85a45a4928a6d3208a23acf9c2e34b06e494c"
"csv","recipe-database","bmb","bmb/reference/workflows/meal-prep-nutrition/data/recipe-database.csv","f97b38bc7405369cfd8a7d88b39708af8df2bcb9c9867313aef9e8b555291e88"
"csv","recipe-database","bmb","bmb/workflows/create-agent/data/reference/workflows/meal-prep-nutrition/data/recipe-database.csv","f97b38bc7405369cfd8a7d88b39708af8df2bcb9c9867313aef9e8b555291e88"
"js","installer.template","bmb","bmb/workflows/create-module/templates/installer.template.js","52e573290f20fbafa5030517bf5bd6c0d204f32cdac76fd1d3c4771fcc493695"
"md","agent-compilation","bmb","bmb/docs/agents/agent-compilation.md","3f732ddfec0689891c2dcd75a07154063b651b1cac89f22dd23e69aac0b8c319"
"md","agent-menu-patterns","bmb","bmb/docs/agents/agent-menu-patterns.md","281b5afa2db9e41944fe38818df5e7bd57a9f70f0d7496fff3215cb3f586769f"
"md","agent-plan.template","bmb","bmb/workflows/create-agent/templates/agent-plan.template.md","69ed1ae38c2cb73a2fe3a3da7e26842ef76d2a9f9faff2736975d2afc1c5d6b7"
"md","agent-validation-checklist","bmb","bmb/workflows/create-agent/data/agent-validation-checklist.md","7b1172ac27735a8adcd02448692b652bd6d089fdab3ea667b5bec7c724f240e9"
"md","agent.template","bmb","bmb/workflows/create-module/templates/agent.template.md","e4c0dcf00f8d1d7b1b24e630b7edede96762d3ef6981b94c06c4296d923c6d7b"
"md","architecture","bmb","bmb/docs/workflows/architecture.md","de280cfc4874fe03fe9d230c762a9c390d6c1300c37448136a539a13d31b6183"
"md","assessment-section","bmb","bmb/reference/workflows/meal-prep-nutrition/templates/assessment-section.md","9fa8380217ce2ecb29e05d4023e0e5c17c84b5880e9af92df45a57a7dc2f2fb1"
"md","assessment-section","bmb","bmb/workflows/create-agent/data/reference/workflows/meal-prep-nutrition/templates/assessment-section.md","9fa8380217ce2ecb29e05d4023e0e5c17c84b5880e9af92df45a57a7dc2f2fb1"
"md","brainstorm-context","bmb","bmb/workflows/create-agent/data/brainstorm-context.md","576d7a02935ef4e34bdc6476527b658d954bb490b8d09b09ef7e0cf58712d96f"
"md","checklist","bmb","bmb/workflows-legacy/edit-module/checklist.md","5d0db2b72253323da5ebe4482010073a98b60afb9e3198960884483b7342629f"
"md","checklist","bmb","bmb/workflows-legacy/module-brief/checklist.md","4710f9c7e48a1cb29b225d43955bf313271dc7f9bb471bfecb1a8edf5f57a10a"
"md","completion-summary","bmb","bmb/workflows/edit-workflow/templates/completion-summary.md","5fb732313bbf466c106e59c2c5d16d92be6e4f2a749fbd4f3d99415bddbeea1c"
"md","compliance-report","bmb","bmb/workflows/workflow-compliance-check/templates/compliance-report.md","01184bebdad49cc5b9a188f27b6998e7834de5c4dcdaa4f3d9f827a1b46d7037"
"md","csv-data-file-standards","bmb","bmb/docs/workflows/csv-data-file-standards.md","96fcc0e54f5607044adf0f50b10a5a74c12331b71469d5574765e635988406eb"
"md","expert-agent-architecture","bmb","bmb/docs/agents/expert-agent-architecture.md","e29ac1961aa6b7c98d45bc850c63082a027ab33e9a8ee7aff72d8964fde87826"
